year,topic,year_next,d_lang,topic_desc,topic_description,n_papers,d_field,d_nearest_neighbor
2016,29,2017,0.9429322639727725,F.02,F.02 Behavioral Neuroendocrinology,139,0.9791967724314852,0.9795051363802716
2013,30,2014,0.9463323735027266,F.03,F.03 Neuroendocrine Processes,80,0.972615568752534,0.97511424754429
2014,30,2015,0.9508774884341227,F.03,F.03 Neuroendocrine Processes,80,0.9758244505948984,0.9788524090384456
2015,30,2016,0.9498681953479745,F.03,F.03 Neuroendocrine Processes,80,0.9669208061621078,0.9726068179830044
2016,30,2017,0.9544627248970466,F.03,F.03 Neuroendocrine Processes,80,0.9709199783797412,0.9750267202711298
2013,31,2014,0.9456064773335682,G.04,G.04 Mood Disorders: Depression and Bipolar Disorders,183,0.975383319867412,0.978466253174895
2014,31,2015,0.946026120556435,G.04,G.04 Mood Disorders: Depression and Bipolar Disorders,183,0.9730663747087559,0.9733142986726268
2015,31,2016,0.9463924350893276,G.04,G.04 Mood Disorders: Depression and Bipolar Disorders,183,0.9752739897421387,0.9768476640821676
2016,31,2017,0.9389007887868739,G.04,G.04 Mood Disorders: Depression and Bipolar Disorders,183,0.9784345655947974,0.9796889208669776
2013,32,2014,0.9034366260089026,F.04,F.04 Stress and the Brain,298,0.9779120112621209,0.9800537021660228
2014,32,2015,0.9046882591171367,F.04,F.04 Stress and the Brain,298,0.977990685903808,0.9780276082037176
2015,32,2016,0.9060552215581547,F.04,F.04 Stress and the Brain,298,0.977125931505852,0.97726201284946
2016,32,2017,0.9076346778872584,F.04,F.04 Stress and the Brain,298,0.9753653285187202,0.9757008257292134
2013,37,2014,0.9518668584675426,G.02,G.02 Motivation,211,0.9757429425526944,0.976942253203762
2014,37,2015,0.9554619688128503,G.02,G.02 Motivation,211,0.9740554295233196,0.9761448876430786
2015,37,2016,0.9557397497690159,G.02,G.02 Motivation,211,0.9708783140441192,0.9762021222828491
2016,37,2017,0.9365167603709018,G.02,G.02 Motivation,211,0.9781204065218084,0.9787356200535472
2013,40,2014,0.9323601421565315,G.08,G.08 Drugs of Abuse and Addiction,477,0.9658589657029308,0.9743968184572076
2014,40,2015,0.9335182954973693,G.08,G.08 Drugs of Abuse and Addiction,477,0.9761296810595378,0.9781657891918744
2015,40,2016,0.9243288427132484,G.08,G.08 Drugs of Abuse and Addiction,477,0.9794261411167065,0.9800951664446714
2016,40,2017,0.922298425750229,G.08,G.08 Drugs of Abuse and Addiction,477,0.97559668495625,0.9787639212717728
2013,42,2014,0.9310310954914048,C.03,C.03 Parkinson’s Disease,405,0.9793275106094608,0.9794754879458768
2014,42,2015,0.9276726388374236,C.03,C.03 Parkinson’s Disease,405,0.9699584961172596,0.9761479338237232
2015,42,2016,0.9239119500404547,C.03,C.03 Parkinson’s Disease,405,0.9776262654109062,0.9779064234497188
2016,42,2017,0.9251741045175252,C.03,C.03 Parkinson’s Disease,405,0.9763128310051536,0.978778769304496
2013,43,2014,0.9346978291269179,A.05,A.05 Axon and Dendrite Development,78,0.9563135866441458,0.9771601157297954
2014,43,2015,0.9365586157663812,A.05,A.05 Axon and Dendrite Development,78,0.9748376282465644,0.9766321605354435
2015,43,2016,0.9374762085240805,A.05,A.05 Axon and Dendrite Development,78,0.9379675166151042,0.9777673285088136
2016,43,2017,0.9391654062832344,A.05,A.05 Axon and Dendrite Development,78,0.9579439038309668,0.979140156211164
2013,44,2014,0.9143424492169817,C.02,C.02 Alzheimer's Disease and Other Dementias,469,0.9724370070514194,0.9764597143194814
2014,44,2015,0.918420588324815,C.02,C.02 Alzheimer's Disease and Other Dementias,469,0.9778007639630836,0.9778164751228502
2015,44,2016,0.9151003050452117,C.02,C.02 Alzheimer's Disease and Other Dementias,469,0.97673423735937,0.9776101789969172
2016,44,2017,0.9157682811441624,C.02,C.02 Alzheimer's Disease and Other Dementias,469,0.9734491593751936,0.9775719256202688
2013,46,2014,0.9370812980338965,B.12,B.12 Glial Mechanisms,189,0.9748207378386816,0.9750452075359668
