topic,year,d_lang,n_papers
37,2015,0.9534037160793117,408
37,2016,0.9545984653972553,254
37,2017,0.9369910828918082,211
40,2014,0.9367729523022779,619
40,2015,0.936394154228421,619
40,2016,0.9327176292918138,550
40,2017,0.9277912845572271,477
42,2014,0.925710815299719,449
42,2015,0.9284115344629966,490
42,2016,0.9248519276082294,357
42,2017,0.9293225576153388,405
43,2014,0.934398995636541,120
43,2015,0.9394968054182234,115
43,2016,0.9425869762797,77
43,2017,0.9395528663192034,78
44,2014,0.9170018725006903,621
44,2015,0.9124979693597719,562
44,2016,0.9151088556216717,581
44,2017,0.9183268846687282,469
46,2014,0.9392933255298986,225
46,2015,0.9371085012217555,187
46,2016,0.9229571070136071,233
46,2017,0.9346770630565324,189
49,2015,0.9437783410422563,88
49,2016,0.9400446577793805,75
49,2017,0.9388974563443657,67
50,2014,0.9607440507016735,175
50,2015,0.9640436465579004,212
50,2016,0.9641484914709189,177
50,2017,0.9649894215441016,151
51,2014,0.9263174776232423,89
51,2015,0.9328673023742832,79
51,2016,0.9333032244529967,87
52,2014,0.9196223287479701,70
52,2015,0.9183570880091666,96
82,2014,0.9766607820971897,77
82,2015,0.9749157844884669,73
82,2016,0.9760963698528621,74
82,2017,0.9739623934994331,71
83,2014,0.9606817523389432,91
83,2015,0.9545322997091025,82
83,2016,0.9577003397199342,89
83,2017,0.9641531524313055,93
84,2014,0.9601007672845405,74
84,2015,0.9589870225356681,83
84,2016,0.9641953619484893,90
84,2017,0.9639961416640334,82
92,2014,0.9492307267035084,124
92,2015,0.946619976693275,106
92,2016,0.9471469933174588,109
92,2017,0.9478486159481453,88
94,2014,0.9535702107237563,172
94,2015,0.9590508446436161,175
94,2016,0.9557841927462529,160
94,2017,0.9497157707809141,106
95,2014,0.9471878607667209,125
95,2015,0.9530621264189172,115
95,2016,0.9474717108920976,143
95,2017,0.9489026447975807,105
96,2014,0.9652746829015407,99
96,2015,0.9656840078669887,129
96,2016,0.9631150041078423,130
96,2017,0.9638094294327778,123
97,2014,0.9591440655413007,141
97,2015,0.9602705378460948,127
97,2016,0.9659067432706652,158
97,2017,0.9652813194830381,166
98,2014,0.9581161886252212,225
98,2015,0.9573325250737759,263
98,2016,0.9602175525241132,258
98,2017,0.9577813933128017,239
99,2014,0.9674182345266825,163
99,2015,0.95879837270745,128
99,2016,0.9527196850783674,108
99,2017,0.9523743642619817,114
101,2014,0.9206441076356611,221
101,2015,0.9146410857143878,209
101,2016,0.9185876166148064,204
101,2017,0.9164516420538305,200
102,2014,0.9184796624539726,113
102,2015,0.9217736904320113,119
102,2016,0.9284254045021028,122
102,2017,0.940342747771789,151
103,2015,0.9065812975202752,65
103,2016,0.9000095482506293,67
104,2014,0.8733309847902033,92
104,2015,0.8778257588041632,70
104,2016,0.8711362784917106,71
105,2014,0.919731373345182,120
105,2015,0.9231046244643729,99
105,2016,0.9175718877201726,73
105,2017,0.9078238663952088,74
106,2014,0.929146052683728,557
106,2015,0.9333774836994558,599
106,2016,0.9359473932621338,499
106,2017,0.9290228190613351,459
107,2014,0.9098032771352483,75
107,2015,0.9064795358431844,99
107,2016,0.9151410511307693,113
107,2017,0.9189147473395417,84
108,2014,0.929793917776301,351
108,2015,0.929156093447193,376
108,2016,0.92660841875923,323
108,2017,0.9281486205324386,324
109,2014,0.9338789880625191,144
109,2015,0.9264903883852988,149
109,2016,0.9272529300932896,148
109,2017,0.9271896213274214,148
110,2014,0.9360204331837374,88
110,2015,0.9263237688344195,100
110,2016,0.927111405317721,93
110,2017,0.9169447866705668,83
111,2014,0.9235025316551093,105
111,2015,0.9205062697066365,114
